Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
Категории/L-карнитин;4349;L-Carnitine;4349;ЛК-021372;шт;0;руб;;;;;;;"Пищевая добавка L-Carnitine, 500mg – мощный жиросжигающий комплекс на основе эффективного и естественного для организма вещества – L-карнитина. Сжигайте жир и преобразовывайте его в энергию для стройности и выносливости!";;;;;нет;0;0
Категории/L-карнитин;4350;"CARNITINE LIQUID";4350;СК-021373;шт;0;руб;;;;;;;"Пищевая добавка CARNITINE LIQUID – это 100% чистый и натуральный карнитин, необходимый для качественного похудения с увеличением отдачи на тренировках!";;;;;нет;0;0
Категории/Креатин;4351;"Creatine Monohydrate";4351;КР-021374;шт;0;руб;;;;;;;"Креатиновый комплекс Creatine Monohydrate – пищевая добавка, которая позволяет ускорить приток энергии в мышцы и улучшает отдачу организма на тренировках в несколько раз!";;;;;нет;0;0
"Категории/Специальные добавки";4352;Maca;4352;AM-021375;шт;0;руб;;;;;;;" Пищевая добавка Maca – это 100% чистый продукт, основанный на биологически активном растительном компоненте. Мощнейший афродизиак, обладающий общеукрепляющим и тонизирующим действием!";;;;;нет;0;0
"Категории/Витамины и минералы";4354;Calcium;4354;ВИТ-021376;шт;0;руб;;;;;;;"Пищевая добавка Calcium & Magnesium – это идеальное сочетания кaльция и магния в иновационной формуле от NOW. Незаменимый комплекс для здоровых костей в любом возрасте и при любом уровне физической пoдготовки!";;;;;нет;0;0
"Категории/Витамины и минералы";4355;С-1000;4355;ВИТ-021377;шт;0;руб;;;;;;;"Пищевая добавка NOW C-1000 – это суточная норма витамина С в водорастворимых капсулах. Мощный антиоксидант в повышенной дозировке для организма физически активных людей!";;;;;нет;0;0
Категории/Аминокислоты;4356;"GABA 500 мг, 100 капс.";4356;АМ-021378;шт;0;руб;;;;;;;"Пищевая добавка GABA 500 – мощный препарат, нормализующий работу нервной системы благодаря запуску естественных механизмов. Незаменим при снижении веса и любой диете!";;;;;нет;0;0
"Категории/Специальные добавки";4357;5-HTP;4357;ПП-021379;шт;0;руб;;;;;;;"Пищевая добавка 5-HTP основана на аминокислотах и витаминах для контроля аппетита и снижения веса. Только растительные источники и лучшая формула от NOW!";;;;;нет;0;0
Категории/Аминокислоты;4358;"GH(TM) (IGF-1)";4358;АМ-021380;шт;0;руб;;;;;;;"Пищевая добавка Pro-GH(TM) (IGF-1) – это гормональное средство, влияющее на выработку гормона роста. Незаменим при диетическом питании и профилактике общего здоровья организма.";;;;;нет;0;0
Категории/Протеин;4359;"Whey Protein Isolate";4359;ПР-021381;шт;0;руб;;;;;;;"Протеиновый комплекс Whey Protein Isolate – это сывороточный белок в легком коктейле с превосходным вкусом. Чистый на 100% продукт без примесей для лучшего роста мышц и снижения лишнего веса!";;;;;нет;0;0
Категории/Аминокислоты;4360;"Anabolic State";4360;АМ-021382;шт;0;руб;;;;;;;"Аминокислотный кoмплекс Anabolic State – чистые и легко усваиваемые аминокислоты BCAA. Незаменимая добавка для создания мощного анаболического эффекта и закрытия белкового окна сразу после тренировки. Anabolic State – восстановление и рост мускулатуры в каждой порции!";;;;;нет;0;0
Категории/Протеин;4361;Athlete;4361;ПР-021383;шт;0;руб;;;;;;;"Заменитель питания Athlete'sFood– белково-углеводный продукт на основе инновационной растительной формулы! Athlete'sFoodдаст мощный мышечный рост и защитит от катаболизма. Идеальный продукт для закрытия метаболического окна после тренировки.";;;;;нет;0;0
"Категории/Повышение тестостерона";4362;"HEMOTROPIN 2XC";4362;ТЕ-021384;шт;0;руб;;;;;;;"Пищевая добавка HEMOTROPIN 2XC – мощный стимулятор синтеза гормона роста! Безопасный препарат, необхoдимый для каждого спoртсмена, желающего повысить уровень гормона роста для более качественных тренировок!";;;;;нет;0;0
Категории/Аминокислоты;4363;"ANABOLIC WINDOW";4363;АМ-021385;шт;0;руб;;;;;;;"Послетренировочный комплекс ANABOLIC WINDOW – это инновационная технология для создания анаболической среды и восстановления после интенсивных тренировок! Обеспечивает максимальный рост мышц без разрушения мышечных волокон!";;;;;нет;0;0
Категории/Гейнер;4364;IsoGainer;4364;ГН-021386;шт;0;руб;;;;;;;"Гейнер IsoGainer разработан для ускоренного формирования чистой мышечной массы! Его формула содержит идеальный баланс белков, жиров и углеводов для интенсивных тренировок и достижения максимальных результатов.";;;;;нет;0;0
"Категории/Снижение веса";4365;CARNIBOLIC;4365;ЖЖ-021387;шт;0;руб;;;;;;;"Аминокислотный комплекс CARNIBOLIC – это карнитиновая матрица для похудения благодаря самой мощной анаболической аминокислоте. Задача пищевой добавки – борьба с жировыми подкожными отложениями для получения здоровой мускулатуры и красивого мышечного рельефа. Эффективна для спортсменов с плотным типом телосложения в качестве постоянной пищевой добавки.";;;;;нет;0;0
Категории/Креатин;4366;"Micronized Creatine";4366;КР-021388;шт;0;руб;;;;;;;"Креатиновый комплекс Micronized Creatine – это очищенный микронизированный крeатин в порошковой форме. Качественная добавка, усваиваемая на 100%! Максимальная энергия и восстановление мускулатуры!";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4367;SWOLLEN;4367;ПРЕД-021389;шт;0;руб;;;;;;;"Предтренировочный комплекс SWOLLEN – мощный продукт для усиления пампинг-эффекта. Незаменим во время силовых тренировок, усилит интенсивность и доведет до максимума объем мускулатуры! Мышцы станут более крепкими и выносливыми через 4-6 недель! ";;;;;нет;0;0
Категории/Протеин;4368;Hydropure;4368;ПР-021390;шт;0;руб;;;;;;;"Протеиновый комплекс Hydropure – уникальный продукт на основе гидроизата изолята протеина молочной сыворотки. На сегодняшний день комплекс – один из наиболее ценных по биологическому составу.";;;;;нет;0;0
"Категории/Витамины и минералы";4369;Vitabolic;4369;БТ-021391;шт;0;руб;;;;;;;"Инновационная формула Vitabolic содержит компоненты в бисглицинатовой хелатообразующей форме – она обладает наивысшей степенью усвояемости, а значит имеет наибольшую эффективность.";;;;;нет;0;0
Категории/Протеин;4370;HyperWhey;4370;ПР-021392;шт;0;руб;;;;;;;"Протеиновый комплекс HyperWhey – это первоклассная многокомпонентная формула на основе сывороточного протеина.";;;;;нет;0;0
Категории/Аминокислоты;4371;"Micronized L Glutamine";4371;ГЛ-021393;шт;0;руб;;;;;;;"Пищевая добавка Micronized L-Glutamine – это базовый аминокислотный комплекс, который создан для более интенсивных тренировок и быстрого восстановления после них!";;;;;нет;0;0
Категории/Аминокислоты;4372;"Amino Drive";4372;АМ-021394;шт;525;руб;;;;;;;"Amino Drive - мощный восстанавливающий комплекс, обеспечивающий полное восстановление организма за сравнительно минимальные периоды времени, вне зависимости от сложности и нагруженности тренировочного занятия.";;;;;нет;0;0
Категории/Креатин;4373;"CREATINE DRIVE";4373;КР-021395;шт;325;руб;;;;;;;"Спортивная добавка Creatine drive относится к разряду спортивного комплекса способствующего росту сухой мышечной массы, а также силовых показателей. Основной состав Nutrex CREATINE DRIVE включает в себя моногидрат креатина.";;;;;нет;0;0
"Категории/Витамины и минералы";4374;"Vitamin+senior 30 капс";4374;ВИТ-021195;шт;125;руб;;;;;;;"Биологически активная добавка Vitamin Plus senior – витаминно-минеральный комплекс для взрослых мужчин для поддержки активного долголетия, занятий спортом и общего тонуса организма.";;;;;нет;0;0
Категории/Протеин;4375;"Natural Whey Concentrate";4375;ПР-021396;шт;0;руб;;;;;;;"Протеиновый комплекс 100% Natural Whey Concentrate – чистейший концентрат протеина молочной сыворотки с натуральным вкусом. С протеиновым коктейлем от Olimp вы получите ощутимый результат в течение 4-6 недель!";;;;;нет;0;0
Категории/Аминокислоты;4376;"Anabolic Amino 9000";4376;АМ-021397;шт;600;руб;;;;;;;"Аминокислотный комплекс Anabolic Amino 9000 – это невероятная концентрация аминокислот в каждой порции! Препарат признан мощнейшим в своем роде по максимальному составу аминокислот с высокой степенью усвоения!";;;;;нет;0;0
Категории/Аминокислоты;4377;"AAKG Xplode";4377;АМ-021398;шт;390;руб;;;;;;;"Аминокислотный комплекс AAKGXplode– это мощнейшая сила и продолжительность анаболического уровня для постоянного роста и восстановления мышечной массы!";;;;;нет;0;0
Категории/Аминокислоты;4378;"Beta Carno Rush";4378;АМ-021399;шт;0;руб;;;;;;;"Аминокислотная добавка Beta-Alanine Carno Rush – это инновационная формула бета-аланина для лучших тренировок и постоянного роста мускулов! Продукт разработан специально для анаэробных нагрузок и достижения в них максимального результата!";;;;;нет;0;0
Категории/Аминокислоты;4379;"Beta Alanine Xplode";4379;АМ-021444;шт;425;руб;;;;;;;"Аминокислотный комплекс Beta-Alanine Xplode – это высокоэффективный бета-аланин, чья задача – перейти порог утомления и стимулировать достижение максимального результата при анаэробных нагрузках.";;;;;нет;0;0
Категории/Гейнер;4380;"Carbo NOX";4380;ПРЕД-021400;шт;170;руб;;;;;;;"Энергетический комплекс Carbo NOX – это углеводный препарат без сахара. Идеальное средство для энергетической подпитки на тренировки и после нее! ";;;;;нет;0;0
"Категории/Витамины и минералы";4381;"Chela Chrom";4381;ВИТ-021401;шт;115;руб;;;;;;;"Пищевая добавка Chela-Chrom – это безвредный и легкий в усвоении источник хрома, разработанный компанией ALBION. Задача Chela-Chrom – контролировать вес за счет участия в процессе метаболизма.";;;;;нет;0;0
"Категории/Витамины и минералы";4382;"Chela MZB";4382;ВИТ-021402;шт;0;руб;;;;;;;"Пищевая добавка Chela-MZB – это сочетание магния, цинка и витамина В-6! Задача комплекса – нормализовать работу организма и исключить понятие стресса из жизни каждого спортсмена.";;;;;нет;0;0
Категории/Креатин;4384;"Creapure Monohydrate";4384;КР-021403;шт;375;руб;;;;;;;"Creapure Monohydrate – высококачественный креатин моногидрат в порошковой форме. Продукт незаменим для высокой производительности. Гарантирует восполнение запасов энергии в мышечных клетках за счет синтеза АТФ – основного «топлива» для мышц!";;;;;нет;0;0
Категории/Креатин;4385;"Creatine Magna Power";4385;КР-021404;шт;0;руб;;;;;;;"Креатиновый комплекс Creatine Magna Power – это хелатная форма креатина и магния в капсулах. Creatine Magna Power дает сильнейший анаболический эффект даже по сравнению с моногидратом креатина. Универсальный креатин подходит абсолютно всем и работает безотказно!";;;;;нет;0;0
Категории/Креатин;4386;"Creatine Powder";4386;КР-021405;шт;325;руб;;;;;;;"Креатиновый комплекс Creatine Powder – это пищевая добавка, содержащая креатин в порошковой форме. Сила и выносливость в каждой порции для максимальной отдачи на тренировках! Рост мускулатуры гарантирован!";;;;;нет;0;0
Категории/Креатин;4387;"Creatine Xplode";4387;КР-021406;шт;525;руб;;;;;;;"Креатиновый комплекс CreatineXplode– мощнейшая смесь из шести источников креатина и таурина. Уникальная формула, действующая сращу в трех направлениях: увеличение массы, объема и силы мускулатуры.";;;;;нет;0;0
Категории/Гейнер;4388;"Dextrex Juice 1000 г.";4388;ПРЕД-021407;шт;175;руб;;;;;;;" Углеводный напиток DextrexJuice– концентрированная энергия для тренировок и роста мышечной массы! В каждой порции комплекса содержится магний (75 грамм), таурин (2 грамма), декстроза (75 грамм).";;;;;нет;0;0
Категории/Протеин;4389;"100% Soy Protein";4389;СК-021408;шт;0;руб;;;;;;;"100% Soy Protein - протеиновая добавка созданная на основе соевого протеина. Этот особый вид добавки создан специально для спортсменов придерживающихся вегетарианской диеты.";;;;;нет;0;0
"Категории/Витамины и минералы";4390;"Flaxseed Oil";4390;ВИТ-021409;шт;0;руб;;;;;;;"Flaxseed Oil - льняное масло высокой степени очистки от Optimum Nutrition, станет полезным как спортсмену, так и простому обывателю.";;;;;нет;0;0
"Категории/Снижение веса";4392;CLA;4392;ЖЖ-021410;шт;0;руб;;;;;;;"CLA, она же конгъюнированная линолевая кислота, от компании Optimum Nutrition считается важным компонентом, в поддержании здоровой жизнедеятельности организма бодибилдера.";;;;;нет;0;0
"Категории/Специальные добавки";4393;"HMB 1000";4393;АМ-021411;шт;0;руб;;;;;;;"Пищевая спортивная добавка HMB 1000 (в-во гидроксиметилбутират)от компании Optimum Nutrition обладает целом рядом положительных воздействий на организм спортсмена.";;;;;нет;0;0
Категории/Аминокислоты;4394;"Amino Chewables";4394;АМ-021412;шт;0;руб;;;;;;;"Amino Chewables относится к аминокислотному ВСАА комплексу.";;;;;нет;0;0
"Категории/Витамины и минералы";4396;"Opti-Performance Pack";4396;ВИТ-021414;шт;900;руб;;;;;;;"Opti-Performance Pack - это мощнейший мультивитаминный комплекс содержащий в своем составе целых пятьдесят девять компонентов!";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4398;"Opti-Pump N.O";4398;АМ-021415;шт;0;руб;;;;;;;"Opti-Pump N.O - пищевая добавка в основной состав которй входит аргинин (аминокислота, выступающая в роли азотного донатора).";;;;;нет;0;0
"Категории/Повышение тестостерона";4399;ZMA;4399;ТЕ-021416;шт;725;руб;;;;;;;"ZMA добавка от компании Optimum Nutrition разработанна специально для поддержания высокого уровня тестостерона в организме спортсмена. Основным действующим веществом в составе ZMA-смеси является Zinc Methionine Aspartate (цинк метионин аспарат).";;;;;нет;0;0
Категории/Протеин;4400;"Tri-Celle Casein";4400;ПР-021417;шт;0;руб;;;;;;;"Platinum Tri-Celle Casein по праву считается одной из самых успешных разработок в области спортивного питания на основе казеина.";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4401;"Platinum PRE";4401;ПРЕД-021418;шт;0;руб;;;;;;;"Platinum PRE от компании-производителя Optimum Nutrition пользуется огромным спросом, как среди профессионалов, так и новичков-бодибилдеров.";;;;;нет;0;0
Категории/Протеин;4402;"Platinum Hydrobuilder";4402;ПР-021419;шт;0;руб;;;;;;;"Спортивная добавка Platinum Hydrobuilder включает в своем основном составе идеальную протеиновую смесь, принимать которую следует сразу после тренировочного занятия.";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4403;"Carb Slam";4403;ПРЕД-021420;шт;0;руб;;;;;;;"Carb Slam углеводный комплекс ускоренного действия разработанный на основе воскового кукурузного крахмала. Идеально подходит для тех, кто стремится набрать мышечную массу за короткий период времени.";;;;;нет;0;0
Категории/Протеин;4404;"Advanced Muscle Gain Protein";4404;ПР-021421;шт;0;руб;;;;;;;"Advanced Muscle Gain Protein – это протеиновая смесь, сочетающая в себе белки с разной скоростью абсорбции. Под брендом Protein Factory вышел продукт, который можно принимать в течение всего дня и в любое время.";;;;;нет;0;0
Категории/Гейнер;4405;"Mass Powder";4405;ГН-021422;шт;0;руб;;;;;;;"Mass Powder – гейнер нового поколения с высоким содержанием протеинов. Продукт от компании Protein Factory стал популярным во всем мире благодаря своему качеству! ";;;;;нет;0;0
"Категории/Витамины и минералы";4406;"Vitamin A";4406;ВИТ-021423;шт;0;руб;;;;;;;"Пищевая добавка VitaminA– один из ключевых компонентов для поддержки иммунитета, здоровья глаз, кожи и волос. Сочетается с любым типом диеты.";;;;;нет;0;0
"Категории/Снижение веса";4408;"Black Cherry";4408;ЖЖ-021424;шт;0;руб;;;;;;;"Пищевая добавка BlackCherry на основе экстракта дикой вишни – антиоксидант, способствует активному долголетию, повышая тонус организма.";;;;;нет;0;0
"Категории/Снижение веса";4410;"Raspberry Ketones";4410;ЖЖ-021425;шт;0;руб;;;;;;;"Пищевая добавка RaspberryKetones– активный растительный экстракт, необходимы для лучшего жиросжигания, нормализации жирового баланса и энергетического потенциала. Эффективно работает с диетами и программами тренировок.";;;;;нет;0;0
Категории/Аминокислоты;4411;"L Arginine";4411;АМ-021426;шт;0;руб;;;;;;;"Пищевая добавка L-Arginine– аминокислотный комплекс для улучшенного роста мышц и укрепления иммунитета. Рекомендуется как добавка к рациону, поддерживает высокий тонус организма.";;;;;нет;0;0
"Категории/Витамины и минералы";4412;"Vitamin D3 2000 IU";4412;ВИТ-021427;шт;0;руб;;;;;;;"Пищевая добавка Vitamin D3 2000 IU – биологически активный комплекс на основе инновационной формулы витамина D3, создающий все условия для поддержки иммунитета, здоровья мышц и костей. Подходит для каждого, кто следит за здоровьем и ведет активный образ жизни.";;;;;нет;0;0
"Категории/Специальные добавки";4414;"Q-SORB™ Co Q-10";4414;ПП-021428;шт;0;руб;;;;;;;"Пищевая добавка MACA – это высокая концентрация растительного экстракта маки перуанской – известного стимулятора гормона тестостерона. Улучшает физическую выносливость на тренировках, способствует силе, а значит, и росту мышц. Принимайте как часть спортивной диеты.";;;;;нет;0;0
"Категории/Для суставов и связок";4415;"Osteo Bi Flex Joint Care";4415;СС-021442;шт;0;руб;;;;;;;"Пищевая добавка Osteo Bi-Flex Joint Care – биологически активный комплекс, созданный для поддержки здоровья суставов и замедления процесса старения.";;;;;нет;0;0
"Категории/Снижение веса";4416;"Grapeseed Extract";4416;ЖЖ-021429;шт;0;руб;;;;;;;"Пищевая добавка GrapeseedExtract – биологически активная формула: работает как антиоксидант, улучшает защитные функции организма и тонус в целом. Универсальный препарат, если вы спортсмен, физически активны или следите за здоровьем.";;;;;нет;0;0
"Категории/Для суставов и связок";4418;"Shark Cartilage";4418;СС-021430;шт;0;руб;;;;;;;"Пищевая добавка SharkCartilage- это обогащенный питательными веществами протектор хрящей на основе акульего хряща. Незаменим при поддержке и восстановлении здоровья хряща. Включите продукт в свой рацион, если вы интенсивно тренируетесь или просто физически активны.";;;;;нет;0;0
"Категории/Витамины и минералы";4420;"Women’s Multi";4420;ВИТ-021432;шт;0;руб;;;;;;;"Биологически активная добавка Women’s Multi – эффективный мультивитаминный комплекс, созданный специально для физически активных женщин. Ежедневная порция витаминов и минералов даст заряд энергии и сил для достижения поставленных целей.";;;;;нет;0;0
"Категории/Витамины и минералы";4421;"Calcium Magnesium with Vitamin D";4421;ВИТ-021431;шт;0;руб;;;;;;;"Витаминно-минеральный комплекс CalciumMagnesiumwithVitaminD – это три активных компонента для здоровых и крепких костей и мускулатуры. Сочетается с любой диетой и планом тренировок.";;;;;нет;0;0
"Категории/Витамины и минералы";4422;"Hair, Skin & Nails Formula";4422;ВИТ-021433;шт;150;руб;;;;;;;"Пищевая добавка Hair, Skin & Nails Formula – витамины, минералы, растительные экстракты. Продукт разработан для поддержки здоровья и красоты ваших волос, кожи, ногтей.";;;;;нет;0;0
"Категории/Витамины и минералы";4423;"B complex with minerals";4423;ВИТ-021434;шт;100;руб;;;;;;;;;;;;нет;0;0
Категории/Протеин;4424;"Nutrition 100 Casein Fusion";4424;ПР-021435;шт;0;руб;;;;;;;"Nutrition 100% Casein Fusion - «ночной» протеин пролонгированного действия. Этот спортивный комплекс стоит принимать на ночь, когда организм отдыхает от дневных нагрузок и не получает никаких дополнительных питательных веществ.";;;;;нет;0;0
Категории/BCAA;4425;"BCAA Reloaded";4425;ВСА-021436;шт;0;руб;;;;;;;"BCAA Reloaded - это новая формула известных аминокислот ВСАА комплекса.";;;;;нет;0;0
Категории/Гейнер;4426;"MASS EFFECT REVOLUTION";4426;ГН-021437;шт;0;руб;;;;;;;"Mass effect revolution - специально разработанная формула пользующаяся популярностью среди бодибилдеров специально для ускоренного набора массы тела.";;;;;нет;0;0
Категории/Аминокислоты;4427;"Performance Glutamine";4427;ГЛ-021438;шт;0;руб;;;;;;;"Performance Glutamine - восстанавливающий комплекс, на основе глютамина. Является незаменимым для спортсменов тренирующихся на уровне повышенной сложности. Также, Performance Glutamine средство №1 при подготовке с соревнованиям.";;;;;нет;0;0
Категории/L-карнитин;4428;Alcar;4428;СК-021439;шт;400;руб;;;;;;;"Alcar - отменная формула безопасного жиросжигателя! Благодаря специальным разработкам ученых, Alcar не просто сжигает жир, а перерабатывает его в мощнейший источник дополнительной энергии.В основе состава Alcar лежит ацетил л-карнитин.";;;;;нет;0;0
Категории/Аминокислоты;4430;Carnosyn;4430;АМ-021440;шт;350;руб;;;;;;;"Carnosyn - единственная добавка на рынке всего многообразия спортивного питания, основным действующим веществом которой является бета-аланин одобренный к использованию специальной лицензией NAI. Он выступает, прежде всего, в качестве буфера, предупреждающего мышечную утомляемость.";;;;;нет;0;0
Категории/Креатин;4431;"Cm2 Nitrate";4431;КР-021441;шт;0;руб;;;;;;;"Cm2 Nitrate - комплекс разработанный на основе этил эфира креатина. Благодаря основному действующему веществу - креатин сохраняет все свои полезные воздействия на организм бодибилдера, при этом не создавая никакого дискомфорта при усваиваении";;;;;нет;0;0
"Категории/Снижение веса";4433;T3;4433;ЖЖ-021443;шт;0;руб;;;;;;;"T3 - жиросжигающий комплекс, разработанный специалистами специально для тех спортсменов, чей обмен веществ нарушен, а обычные жиросжигатели не дают ожидаемого результата.";;;;;нет;0;0
"Категории/Витамины и минералы";4434;"Ultra Vita Man daily multi 90 табл ";4434;ВИТ-021445;шт;375;руб;;;;;;;"Ultra Vita Man - мужской мультивитаминный комплекс. Его специальная формула с замедленным поглощением насыщает ваш организм всеми необходимыми элементами на протяжении длительного периода времени.";;;;;нет;0;0
"Категории/Витамины и минералы";4435;"Woman daily multi 90 табл ";4435;ВИТ-021446;шт;375;руб;;;;;;;"Биологически активная добавка Women’s Multi – эффективный мультивитаминный комплекс, созданный специально для физически активных женщин. Ежедневная порция витаминов и минералов даст заряд энергии и сил для достижения поставленных целей.";;;;;нет;0;0
"Категории/Для суставов и связок";4436;"Glucosamine Chondroitine MSM double 240 табл ";4436;СС-021447;шт;600;руб;;;;;;;"Puritan's Glucosamine Chondroitine MSM double - пищевая спортивная добавка, в основе которой лежит глюкозамин, вещество отвечающее за здоровую жизнедеятельность суставов и связок. ";;;;;нет;0;0
"Категории/Специальные добавки";4437;"Garlic & Parsley 250 гел.капс ";4437;ПП-021456;шт;300;руб;;;;;;;" Puritan's Garlic & Parsley - растительная пищевая добавка разработанная на основе уникального экстракта из чеснока. Прекрасно подходит спортсменам всех разновидностей спорта. ";;;;;нет;0;0
Категории/Креатин;4461;Creabomb;4461;КР-021528;шт;388;руб;;;;;;;" Креатиновая добавка Creabomb – многокомпонентная креатиновая матрица, дополненная аминокислотами, минералами и витаминами. Сила и энергия для роста «чистой» мышечной массы!";;;;;нет;0;0
Категории/Протеин;4438;"Platinum ISO Whey 806 g.";4438;ПР-021456;шт;0;руб;;;;;;;"Протеиновый комплекс PlatinumISOWheyразработан для наращивания мышечной массы и восстановления. В основе – изолят протеина молочной сыворотки.";;;;;нет;0;0
Категории/Протеин;4439;"6 Protein Blend 750 g.";4439;ПР-001118;шт;975;руб;;;;;;;;;;;;нет;0;0
"Категории/Предтренировочные комплексы";4441;"BPI Pump HD 25serv 250 г";4441;ПРЕД-021459;шт;775;руб;;;;;;;"BPI Pump HD 25serv - предтренировочный комплекс, разработанный специально для всех, кто стремится нарастить необходимый объем мышечной массы за поставленные сроки. Без ложной скромности, стоит отметить факт того, что в настоящее время, BPI Pump HD 25serv считается одним из ведущих предтренировочников в мире тяжелой атлетики.";;;;;нет;0;0
"Категории/Специальные добавки";4443;"HMB Mega Caps 1250mg 30 caps";4443;АК-001123;шт;125;руб;;;;;;;"Аминокислотный комплекс HMB Mega – аминоподобная формула, стимулирующая синтез белка в организме для роста мускулатуры! Защищает организм от потери мышечной массы, сжигает жир и дает силы для интенсивных нагрузок.";;;;;нет;0;0
"Категории/Для суставов и связок";4444;"Hyaluronic acid 50mg 30 гел.капс ";4444;ПП-021445;шт;225;руб;;;;;;;"Puritan's Hyaluronic acid - спортивная пищевая добавка, в основе состава которой лежит небезызвестная гиалуроновая кислота.";;;;;нет;0;0
"Категории/Для суставов и связок";4445;"Hyaluronic acid 50mg 60 гел.капс ";4445;ПП-021448;шт;375;руб;;;;;;;"Пищевая добавка HyaluronicAcidна основе гиалуроновой кислоты поддержит здоровье соединительных тканей, – суставов, связок и сухожилий – а также улучшит упругость и внешний вид кожи. Важна для спортсменов с повышенными нагрузками на суставы и связки: в силовых видах спорта, для бегунов, велосипедистов.";;;;;нет;0;0
"Категории/Витамины и минералы";4446;"Calcium 600mg + Vitamin D3 60 табл ";4446;ВИТ-021458;шт;163;руб;;;;;;;"Пищевая добавка Calcium plus Vitamin D – витаминный комплекс на основе кальция, разработанный специально для здоровья костей и качественной работы иммунной системы. Для лучшего усвоения дополнен витамином D.";;;;;нет;0;0
"Категории/Витамины и минералы";4447;"Srtess B-complex with C-500 30 табл";4447;ВИТ-021449;шт;150;руб;;;;;;;" Каким бы высоким не был ваш уровень физической подготовки, каждая тренировка становится стрессом для всех действующих систем. Направить воздействия тренинга в нужное русло, вам поможет Puritan's Srtess B-complex with C-500. ";;;;;нет;0;0
"Категории/Специальные добавки";4448;"Caffeine 100 caps ";4448;БТ-021525;шт;150;руб;;;;;;;" Пищевая добавка Scitec Nutrition Caffeine – энергетик и жиросжигатель в одном флаконе! Идеальный препарат для тех, кто кочет похудеть, занимается кардио или просто хочет повысить энергетический потенциал!";;;;;нет;0;0
Категории/Протеин;4450;"100% Beef Concentrate 1000g";4450;ПР-021516;шт;625;руб;;;;;;;"Протеиновый комплекс 100% Beef Concentrate – это чистый протеин из говяжьего концентрата. Нарастите мышцы вместе с качественным полноценным протеином!";;;;;нет;0;0
Категории/Протеин;4451;"100% Milk Complex";4451;СК-021518;шт;1200;руб;;;;;;;"Scitec Nutrition 100% Milk Complex - пищевая добавка для бодибилдеров, разработанная на основе молочного и сывороточного протеинов, обработанных новым методом - ультрафильтрацией, благодаря чему, структура белка приобретает максимально расщепляемую форму и прекрасно усваивается организмом";;;;;нет;0;0
Категории/Протеин;4452;"100% Milk Complex";4452;СК-021519;шт;600;руб;;;;;;;"Scitec Nutrition 100% Milk Complex - пищевая добавка для бодибилдеров, разработанная на основе молочного и сывороточного протеинов, обработанных новым методом - ультрафильтрацией, благодаря чему, структура белка приобретает максимально расщепляемую форму и прекрасно усваивается организмом";;;;;нет;0;0
Категории/L-карнитин;4539;"L-carnitine 1500";4539;ЛК-021699;шт;300;руб;;;;;;;;;;;;нет;0;0
Категории/Протеин;4454;"Whey Protein Professional 908 г.";4454;ПР-021517;шт;550;руб;;;;;;;"Протеиновый комплекс 100% Whey Protein Professional разработан для профессиональных спортсменов: высокая концентрация сывороточного протеина и дополнительная матрица аминокислот даст больше ресурсов для восстановления и роста. Подходит для периода активной подготовки к соревнованиям, сушки и силовых тренировок.";;;;;нет;0;0
Категории/Аминокислоты;4455;"Amino 30 Liquid 1000 ml.";4455;СК-002037;шт;400;руб;;;;;;;"Аминокислотный комплекс AminoLiquid 30 – полная аминокислотная матрица в жидкой форме с добавлением витамина B-6. Продукт не содержит жиры и подходит для периода наращивания мышц и «сушки». Формула разработана для силовых тренировок профессиональных спортсменов.";;;;;нет;0;0
Категории/Аминокислоты;4456;"Amino Magic 500";4456;АМ-02521;шт;500;руб;;;;;;;"Аминокислотный комплекс Amino Magic – это 10-компонентная матрица, основанная на лучших источниках силы, энергии и роста! Продукт подходит всем спортсменам, но особенно атлетам – бодибилдерам, пауэрлифтерам и всем, кто нацелен на результат!";;;;;нет;0;0
Категории/Протеин;4457;"Anabolic Whey 4000 gr";4457;ПР-021522;шт;2000;руб;;;;;;;"Anabolic Whey от компании Scitec - спортивная пищевая добавка для тяжелоатлетов, которые упорно достигают поставленные цели, планируя свое развитие наперед";;;;;нет;0;0
"Категории/Для суставов и связок";4458;"Arthroxon plus 108 caps   ";4458;СС-021523;шт;475;руб;;;;;;;"Пищевая добавка Arthroxon Plus – спортивное питание для суставов и связок! Укрепите суставы и связки, чтобы забыть о боли, травмах и воспалениях. Препарат разработан для физически активных людей и всех, кто ведет здоровый образ жизни. Обеспечьте себе активное долголетие!";;;;;нет;0;0
