Групы;Код;Наименование;"Внешний код";Артикул;"Единица измерения";"Цена продажи";"Валюта (Цена продажи)";"Закупочная цена";"Валюта (Закупочная цена)";"Неснижаемый остаток";"Штрихкод EAN13";"Штрихкод EAN8";"Штрихкод Code128";Описание;"Минимальная цена";Страна;НДС;Поставщик;Архивный;Вес;Объем
Категории/Креатин;4256;"Creatine monohydrate";4256;КР-021300;шт;0;руб;;;;;;;"GAT Creatine - добавка для спортсменов, созданная из чистого креатина (99,9%), без каких либо вкусовых добавок и без красителей. Разработана для повышения силовых качеств.";;;;;нет;0;0
"Категории/Снижение веса";4257;"Jetfuel T-300";4257;ЖЖ-021301;шт;0;руб;;;;;;;"GAT Jetfuel T-300 -пищевая добавка,основной спектр действия которой направлен на борьбу с проблемными (и не только) жировыми отложениями путем незначительного повышения температуры тела.";;;;;нет;0;0
"Категории/Предтренировочные комплексы";4258;Adenoflex;4258;ПРЕД-021302;шт;0;руб;;;;;;;"Adenoflex -пищевая добавка на основе креатина,которая обеспечивает интенсивный рост мышечной массы, увеличение ее силы и поднятие уровня тестостерона.";;;;;нет;0;0
"Категории/Снижение веса";4259;Jetfuel;4259;ЖЖ-021304;шт;0;руб;;;;;;;"GAT Jetfuel - уникальный капсульный препарат, созданный для сжигания лишних подкожных жировых отложений. Состоит из 14 компонентов, обеспечивающих длительный и мощный эффект.";;;;;нет;0;0
Категории/Гейнер;4260;Supertein;4260;ГН-021303;шт;0;руб;;;;;;;"GAT Supertein - это протеиновый коктейль, созданный для достижения более мускулистого и рельефного тела. Средство содержит в себе самые необходимые для роста мышц ингредиенты: минимум углеводов и жиров, большая часть белков.";;;;;нет;0;0
Категории/Креатин;4261;"Crea Shock ";4261;КР-021172;шт;0;руб;;;;;;;;;;;;нет;0;0
Категории/Аминокислоты;4262;"Amino Shock";4262;АМ-021173;шт;0;руб;;;;;;;" ";;;;;нет;0;0
Категории/Аминокислоты;4264;A-Shock;4264;АМ-021174;шт;500;руб;;;;;;;;;;;;нет;0;0
"Категории/Для улучшения сна";4266;"Juggernaut HP";4266;СН-021305;шт;0;руб;;;;;;;"Предтренировoчный кoмплекс Juggernaut HP – это заряд организма всем необходимым для максимально эффективных тренировок. Во время каждой тренировки мышцы будут получать прилив крови и невероятный драйв.";;;;;нет;0;0
Категории/Протеин;4267;"Infinite Pro 100";4267;ПР-021306;шт;0;руб;;;;;;;"Infinite Pro 100% Whey – это протеин молочной сыворотки, продукт номер один для физических упражнений и силовых тренировок. Эффективный рост мышц за счет лучшего источника белков!";;;;;нет;0;0
